Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00106886386920222","1,39325704365838","-1,15183202602706",0,0,0,"1812,59140242668","815,380160301307","-3,33379004750615","0,798874531378548","515,510334638838","269,123589933618","606,27359042214",0,0,0,0,0,0,package://mitrix.SLDASM/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://mitrix.SLDASM/meshes/base_link.STL,,Front-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Link,"-0,00106886386920222","-0,00126572552513649","-0,00212424444091286",0,0,0,"1812,59140242669","815,380160301307","-3,33379004750615","0,798874531378536","515,510334638838","269,123589933618","606,27359042214",0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Front_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Front_Link.STL,,Front-2,Origin_Front,Axis_Front,Front,fixed,0,"1,14970778158614","1,39452276918352","1,5707963267949",0,0,base_link,0,0,0,,,,,,,,,,,,
Front_Axel_Link,"-4,36969277369107E-06","4,26437441469751E-08","-4,46162003437905E-07",0,0,0,"67,2479287258514","7,82659387106298","-5,23591436070264E-07","-3,19593249932321E-06","4,34640273121641","4,66139072299896E-05","4,34639224887742",0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Front_Axel_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Front_Axel_Link.STL,,Front_Axel-2,Origin_Front_Axel,Axis_Front_Axel,Front_Axel,continuous,0,"-0,978538244813555","1,14970778158614",0,0,0,Front_Link,1,0,0,,,,,,,,,,,,
Tail_Link,"-0,000327038141281997","0,543854990765954","-1,14252556702687",0,0,0,"1187,11412095359","292,229236934523","0,235514206501228","-0,159770553178752","299,25415783447","51,4236942342462","185,844241107271",0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Tail_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Tail_Link.STL,,Tail-3,Origin_Tail,Axis_Tail,Tail,continuous,"0,00457389022121065","1,01753781980835","0,305974036793424","1,5707963267949",0,0,base_link,0,1,0,,,,,,,,,,,,
Tail_Axel_Link,"-0,000330781791366032","-1,66668638551526E-06","2,00350268286797E-06",0,0,0,"67,247821127666","7,82659289090184","1,05025825534538E-06","4,30110186226841E-07","4,34639450916205","3,24192648475926E-07","4,34639987558952",0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Tail_Axel_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://mitrix.SLDASM/meshes/Tail_Axel_Link.STL,,Tail_Axel-2,Origin_Tail_Axel,Axis_Tail_Axel,Tail_Axel,continuous,0,"0,11668","-0,579953773966366",0,0,0,Tail_Link,1,0,0,,,,,,,,,,,,
